"displacement","displacementOffset","displacements","durSweep","freq","freqs","gain","mode","postDurInSec","preDurInSec","protocol","ramptime","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
0.1,5,0.1/0.2/0.4/0.8/1.6,1.2,25,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,1,8,NaN,PiezoSine_Raw_140218_F2_C2_1.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.2,5,0.1/0.2/0.4/0.8/1.6,1.2,25,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,2,8,NaN,PiezoSine_Raw_140218_F2_C2_2.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.4,5,0.1/0.2/0.4/0.8/1.6,1.2,25,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,3,8,NaN,PiezoSine_Raw_140218_F2_C2_3.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.8,5,0.1/0.2/0.4/0.8/1.6,1.2,25,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,4,8,NaN,PiezoSine_Raw_140218_F2_C2_4.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
1.6,5,0.1/0.2/0.4/0.8/1.6,1.2,25,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,5,8,NaN,PiezoSine_Raw_140218_F2_C2_5.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.1,5,0.1/0.2/0.4/0.8/1.6,1.2,35.3553,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,6,8,NaN,PiezoSine_Raw_140218_F2_C2_6.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.2,5,0.1/0.2/0.4/0.8/1.6,1.2,35.3553,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,7,8,NaN,PiezoSine_Raw_140218_F2_C2_7.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.4,5,0.1/0.2/0.4/0.8/1.6,1.2,35.3553,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,8,8,NaN,PiezoSine_Raw_140218_F2_C2_8.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
0.8,5,0.1/0.2/0.4/0.8/1.6,1.2,35.3553,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,9,8,NaN,PiezoSine_Raw_140218_F2_C2_9.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
1.6,5,0.1/0.2/0.4/0.8/1.6,1.2,35.3553,25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,5,IClamp,0.5,0.4,PiezoSine,0.04,50000,50000,5,0.3,0,10,8,NaN,PiezoSine_Raw_140218_F2_C2_10.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
