"amp","amps","durSweep","freq","freqs","gain","mode","postDurInSec","preDurInSec","protocol","ramptime","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","mode_1","mode_2","gain_1","gain_2","secondary_gain_1","secondary_gain_2","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
5,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,1,1,NaN,CurrentSine_Raw_140424_F1_C1_1.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
10,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,2,1,NaN,CurrentSine_Raw_140424_F1_C1_2.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
20,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,3,1,NaN,CurrentSine_Raw_140424_F1_C1_3.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
5,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,4,1,NaN,CurrentSine_Raw_140424_F1_C1_4.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
10,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,5,1,NaN,CurrentSine_Raw_140424_F1_C1_5.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
20,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,6,1,NaN,CurrentSine_Raw_140424_F1_C1_6.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
5,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,7,1,NaN,CurrentSine_Raw_140424_F1_C1_7.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
10,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,8,1,NaN,CurrentSine_Raw_140424_F1_C1_8.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
20,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,9,1,NaN,CurrentSine_Raw_140424_F1_C1_9.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
5,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,10,1,NaN,CurrentSine_Raw_140424_F1_C1_10.mat,140424,140424_F1_C1,1,1,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C1
